"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"UBR3"	6.96608480078425e-28	-22.9376903548232	0.576	0.732	2.54965669793505e-23	"0"	"UBR3"
"ZCCHC7"	7.75157614956898e-28	-26.8849495753188	0.301	0.495	2.83715438650374e-23	"0"	"ZCCHC7"
"TIAM1"	8.39905264508604e-28	-55.7088115349216	0.97	0.931	3.07413725862794e-23	"0"	"TIAM1"
"EPC1"	8.5020366715021e-28	-15.9044028467276	0.361	0.557	3.11183044213649e-23	"0"	"EPC1"
"ZMYM2"	1.07581821373549e-27	-24.2465766326172	0.348	0.545	3.93760224409325e-23	"0"	"ZMYM2"
"UBE2D3"	1.27110802527957e-27	-9.76123519142024	0.206	0.415	4.65238248332577e-23	"0"	"UBE2D3"
"KIF1B"	1.56133778778687e-27	-18.6292733823222	0.847	0.902	5.71465243707871e-23	"0"	"KIF1B"
"EPHA6"	1.68361881748195e-27	-68.8719949182733	0.109	0.294	6.16221323386568e-23	"0"	"EPHA6"
"ARID4B"	2.1295525916909e-27	-68.2488029469336	0.581	0.736	7.79437544084787e-23	"0"	"ARID4B"
"DANT2"	2.44117368930187e-27	-18.4005848875911	0.039	0.202	8.93493982021377e-23	"0"	"DANT2"
"NCOA1"	2.77525697209897e-27	-19.8128150987938	0.445	0.616	1.01577180435794e-22	"0"	"NCOA1"
"TRIM2"	2.80530236832035e-27	-27.609701808721	0.31	0.513	1.02676871982893e-22	"0"	"TRIM2"
"USP3"	2.91984055880393e-27	-7.88136084997148	0.51	0.671	1.06869084292783e-22	"0"	"USP3"
"SCN1A"	3.45823167438086e-27	-19.5436153335824	0.014	0.163	1.26574737514014e-22	"0"	"SCN1A"
"LHFPL6"	3.51217955242442e-27	-54.2040736467331	0.636	0.726	1.28549283798286e-22	"0"	"LHFPL6"
"RBFOX1"	3.8406476781009e-27	-226.217098068903	0.996	0.913	1.40571545666171e-22	"0"	"RBFOX1"
"KDM4C"	4.07768330410664e-27	-20.5557974634693	0.621	0.74	1.49247286613607e-22	"0"	"KDM4C"
"TMEM108"	4.24803826541232e-27	-160.059340642174	0.095	0.277	1.55482448552356e-22	"0"	"TMEM108"
"PPP1R12B"	4.28035832359958e-27	-4.33650033856875	0.422	0.595	1.56665395002068e-22	"0"	"PPP1R12B"
"ANKS1B"	4.39134906918247e-27	-95.6746427875411	0.94	0.922	1.60727767281148e-22	"0"	"ANKS1B"
"GALNT7"	4.93768049361822e-27	-11.9886440718999	0.357	0.549	1.8072404374692e-22	"0"	"GALNT7"
